"","naics","year","emp","pay","prode","prodh","prodw","vship.x","matcost","vadd","invest","invent","energy","cap","equip","plant","piship","pimat","piinv","pien","dtfp5","tfp5","dtfp4","tfp4","m","m5","mCHN","lwc5","chn","x","vship.y","pen5","penCHN","pen5_lag","pen5_lag2","pen5_lag3","pen5_lag4","pen5_lag5","x_lag","x_lag2","vship_lag","vship_lag2","vship_pc","vship_pc_lag","dm","dm_lag","dm_pc","dm_pc_lag","m_lag","m_pc","m_pc_lag","x_pc","x_pc_lag","x_pc_lag2","x_pc_lag3","m5_lag","m5_lag2","m0","m0_lag","prod","prod_lag","prod_lag2","prod_lag3","prod_pc","prod_pc_lag","cap_lag","cap_lag2","cap_lag3","invest_lag","invest_lag2","invest_lag3","invest_pc","invest_pc_lag","emp_lag","plant_lag","equip_lag","equip_pc","equip_pc_lag","emp_pc","emp_pc_lag","emp_pc_lag2","emp_pc_lag3","cap_pc","cap_pc_lag","cap_pc_lag2","cap_pc_lag3"
"19",311111,2007,17,792.9,13.1,28.3,553,14390.2,6917.4,7523.4,288.6,605.8,196.2,3.7459,2706.6,1039.3,1.148000002,1.450999975,1.082000017,1.460000038,-0.037,1.220999956,-0.037,1.220999956,304.44709972525,108.622046669945,108.59122467041,0.356784641742706,0.356683403253555,1045.57287597656,NA,0.0079581988411308,NA,0.00625221563991057,0.00345493917009869,0.000834543913085799,0.00018258379153998,7.52698613327745e-05,968.378356933594,809.487243652344,13596.6,13169.9,0.0583675330597355,0.032399638569769,13649.0742237487,12903.0967186758,0.057813835030248,12903.0967186758,274.875075609423,0.107583505162347,0.4563002682028,0.079715246102162,0.19628612374958,0.147524656271839,-0.00253121273820793,80.6729431077838,43.3565901629627,195.825053055305,194.202132501639,442.552941176471,534.534246575343,507.241379310345,517.123076923077,-0.172077478642722,0.0538064684354136,3.7071,3.6595,3.5917,273.6,266.9,271.3,0.0548245614035088,0.0251030348445112,14.6,1012.5,2694.6,0.00445335114673792,0.0126268320180383,0.164383561643836,0.00689655172413791,0.115384615384615,-0.0845070422535211,0.0104664023090826,0.0130072414264244,0.0188768549711836,0.0235971387044372
"38",311119,2007,28.9,1164.8,17.8,36.4,614.8,24220.5,17968.2,6349.6,365.7,1372.8,356.3,5.3943,3472,1922.3,1.151000023,1.483999968,1.101999998,1.411000013,-0.098999999,1.217000008,-0.098999999,1.218000054,374.704968277132,56.4148286301643,54.4180476665497,0.150557994842529,0.145229056477547,585.998413085938,NA,0.00234971649314943,NA,0.00290142332678323,0.00230430306365621,0.00167779995441934,0.00141614059475951,0.00191219333706175,552.411804199219,544.2783203125,20391.1,20169.5,0.187797617588065,0.0109868861399637,24009.2065551912,20139.2381607493,0.192160615190712,20139.2381607493,300.549964948557,0.246731033028959,0.151436681313864,0.0607999478494241,0.0149436117206522,0.172123525013115,0.0591282347271098,58.4324553832412,45.8239315543324,318.290139646968,242.117509565316,219.709342560554,228.297945205479,225.680272108844,193.923588039867,-0.0376201486929532,0.0115990337665555,5.2913,5.2245,5.176,406,360.7,312.3,-0.0992610837438424,0.125589132242861,29.2,1915.6,3375.7,0.0285274165358297,0.0152175874409792,-0.0102739726027398,-0.00680272108843535,-0.0232558139534885,-0.0933734939759037,0.0194659157484928,0.0127859125275147,0.0093701700154559,0.0252144116307168
"57",311211,2007,10.2,475.2,7.4,17.4,302.2,9733.9,7179.6,2635.4,323.1,1297.5,199,2.981,1841,1140,1.19599998,1.641000032,1.123999953,1.241000056,0.027000001,1.271999955,0.027000001,1.274000049,259.85136241233,34.3462824847084,20.0148415081203,0.132176652550697,0.0770241916179657,421.997161865234,NA,0.00358829549579796,NA,0.00447291350004476,0.00298905315963715,0.00255673273063888,0.00186807255240686,0.00180769712209018,271.897705078125,209.121856689453,7853.1,7637.5,0.239497777947562,0.0282291325695581,9571.7542005471,7802.89458420095,0.226692748089622,7802.89458420095,221.692289279075,0.172126298381168,0.0662634236474705,0.552043853198323,0.300187887495157,-0.11978138481248,-0.0406286498225287,34.9016725250985,22.825286511099,225.505079927621,186.790616753977,258.372549019608,218.680412371134,221.666666666667,236.566037735849,0.181507507773994,-0.0134718238896209,2.9958,2.9621,2.8658,159.5,201.1,246.9,1.02570532915361,-0.206862257583292,9.7,1145.9,1849.9,-0.00481107086869565,0.0185552251954631,0.0515463917525773,-0.0761904761904763,-0.00943396226415091,-0.0185185185185186,-0.00494024968288943,0.0113770635697647,0.0336031823574568,0.0141552834595513
"76",311212,2007,3.8,150.9,3.1,6.5,108.1,2827.3,2156,786,72.3,380.9,60.6,0.809,552.7,256.3,0.998000026,1.639999986,1.113999963,1.266000032,0.090999998,1.485000014,0.090999998,1.488000035,385.173921864713,144.562413386069,43.8629864999093,0.375317245721817,0.113878391683102,979.825317382812,NA,0.0647492906388714,NA,0.0720298384138567,0.042148167684123,0.0486720500136897,0.0475808110458668,0.0362220313137191,934.870422363281,946.12158203125,2223.3,2106.8,0.271668240903162,0.0552971330928422,2232.6486044819,1615.48928297213,0.382026255460101,1615.48928297213,327.059705335414,0.177686873623579,0.452928591868273,0.0480867657636325,-0.0118918750841867,0.0918499652045045,0.193454963871635,116.3634320118,58.408180083381,240.611508478643,210.696273323614,206.842105263158,176.571428571429,178.972972972973,188.27027027027,0.171435871231477,-0.0134184752124951,0.812,0.8026,0.7787,47.3,57.8,68.4,0.528541226215645,-0.181660899653979,3.5,256.4,555.6,-0.00521958243340529,0.014609203798393,0.0857142857142857,-0.0540540540540541,0,0.0277777777777778,-0.00369458128078818,0.0117119362073263,0.0306921792731474,0.00763457556935834
"95",311213,2007,1,48.6,0.7,1.4,31.8,786.6,591.1,199,30.7,196.7,72.6,0.5442,340,204.2,0.97299999,1.672999978,1.123000026,1.406000018,0.171000004,1.536000013,0.171000004,1.516000032,124.010578161571,0.00207299995236099,0.00207299995236099,1.67163161677308e-05,1.67163161677308e-05,148.002380371094,NA,2.71830273837488e-06,NA,6.21424572994343e-05,1.22106711326298e-05,0,1.81444271278252e-05,0,78.5152816772461,68.1522598266602,616.1,581.4,0.276740788832982,0.0596835225318198,762.608197790477,612.962541152164,0.244135076112529,612.962541152164,75.3778228294104,0.645186521799957,0.255850370074395,0.885013684081136,0.15205690723893,0.119451501092871,1.01223694995791,0.0380909985397011,0.00700000021606684,124.008505161619,75.3397318308707,199,173.555555555556,185.555555555556,194.777777777778,0.146606914212548,-0.0646706586826347,0.5633,0.5801,0.5951,13,16,19,1.36153846153846,-0.1875,0.9,207.1,356.2,-0.0454800673778776,-0.0388559093362116,0.111111111111111,0,0,0,-0.0339073317947806,-0.0289605240475783,-0.0252058477566796,-0.0340853757506897
"114",311221,2007,8.4,521,5.4,11.8,307.9,12117.1,6908.8,5257.7,328.6,646,1101.6,7.5413,5589.9,1951.4,1.284000039,1.605999947,1.080000043,1.646999955,0.094999999,1.261999965,0.094999999,1.273000002,558.616505058017,27.3110112191644,22.2578472711612,0.0488904491066933,0.0398445911705494,1598.9501953125,NA,0.00246561229653601,NA,0.00353718035249081,0.00154405365913846,0.00168259974353183,0.00128777408278198,0.000690751177342887,1353.107421875,1272.8076171875,9939.1,9290.9,0.219134529283336,0.0697671915530251,11076.7663097455,9020.41506744446,0.227966365951676,9020.41506744446,434.422489319462,0.285883025837609,0.101389806929673,0.181687550790931,0.0630887210314918,0.00862153940624972,0.0221159078792711,31.9068349478766,12.9893878011499,531.305493838852,402.515654371586,625.916666666667,466.909090909091,444.149425287356,408.034090909091,0.340553608515057,0.0512432625731969,7.4378,7.5907,7.6718,593.9,325.7,379.3,-0.446708200033676,0.823457169174087,8.8,1935.9,5501.9,0.0159944746360348,-0.0271938044804357,-0.0454545454545455,0.0114942528735634,-0.0113636363636365,0,0.0139154050929039,-0.0201430698091085,-0.0105711827732736,-0.0298071451153967
"133",311222,2007,6.2,314.8,4.5,9.6,197.9,19367,15312.9,4453.1,247,1763.1,393.3,3.2103,2246.8,963.5,1.103999972,1.748000026,1.111999989,1.631000042,0.081,1.633000016,0.081,1.63499999,70.1613804167137,9.01561895385385,8.5059979557991,0.128498315811157,0.121234759688377,3246.93530273438,NA,0.000556855655418028,NA,0.000484604173811713,0.000333130560589858,0.000186665867773047,8.32653863455019e-05,3.15181533597519e-05,2405.52905273438,2183.7158203125,16303.9,17344,0.187875293641399,-0.0599688653136532,16190.2260776823,13946.9040832327,0.160847309271065,13946.9040832327,48.5331359670963,0.445638717108256,-0.16505601667568,0.349780123854073,0.101576052322656,0.140146786967693,-0.0874419548760231,6.7587279304862,5.06971798604354,61.1457614628598,41.7744080366101,718.241935483871,570.867647058824,611.739130434783,575.308823529412,0.258158417602288,-0.0668119486600611,3.1638,3.1606,3.1618,257.9,196.1,182.3,-0.0422644435827839,0.315145334013258,6.8,937.1,2226.7,0.00902681097588376,-0.0106193903847863,-0.088235294117647,-0.0144927536231885,0.0147058823529413,-0.15,0.0146975156457425,0.00101246598747076,-0.000379530647099852,0.020429239954817
"152",311223,2007,1.4,52.8,1,2.1,31.7,1506.4,1078.5,420.5,29.8,252.1,44.3,0.787,454.5,332.5,1.284999967,1.253000021,1.128999949,1.598999977,0.082999997,1.059000015,0.086999997,1.06099999,3245.10645327414,386.022213685792,13.8514169147238,0.118955180048943,0.00426840130239725,518.153564453125,NA,0.0911859284646829,NA,0.0823761782261224,0.0738334538915774,0.0975727255121679,0.0624422987585332,0.0829446307044555,463.289428710938,326.630645751953,1304.5,1426.6,0.154771943273285,-0.0855881115939997,4233.35288882102,3509.0271918606,0.206417806804272,3509.0271918606,2667.81662057154,0.216390372655722,0.191867415804577,0.118423025310209,0.418389348140849,-0.119689820543282,0.411032190782268,289.060249357019,246.479659912409,2859.08423958835,2378.75637121452,300.357142857143,257.866666666667,295.2,287.533333333333,0.164776924213326,-0.12646793134598,0.8132,0.8441,0.8785,18.6,14.5,13.7,0.602150537634409,0.282758620689655,1.5,336.2,477,-0.0471698113207547,-0.0541344437834622,-0.0666666666666667,0,0,-0.117647058823529,-0.0322183964584358,-0.0366070370809146,-0.0391576550939099,-0.0337659480862297
"171",311225,2007,8.3,392.2,6.3,14,260.4,12831.7,10418.7,2505.1,218.4,848.9,190.9,2.3834,1607.1,776.3,1.393000007,1.399999976,1.11500001,1.549000025,0.014,0.98299998,0.014,0.984000027,189.29978913255,4.93249695794657,1.71697501814924,0.0260565374046564,0.00907013658434153,28.9868068695068,NA,0.000379656098302897,NA,0.000553521666149576,0.000396039049219162,0.000350856193661824,0.000256144912431097,0.000325415334359288,28.8725414276123,25.3402462005615,9312,9640.2,0.377974656357388,-0.0340449368270369,12992.012982263,9428.45640975819,0.377957580502432,9428.45640975819,145.328951185802,0.302560760178693,0.0279102391097152,0.00395758171067176,0.139394668824193,0.139089696199295,0.562885706079179,5.21885490114801,3.86385307251476,184.367292174604,140.110096284654,301.819277108434,286.027397260274,259.611111111111,264.684931506849,0.0552110741817845,0.101753295674071,2.335,2.2802,2.3594,201.1,195.8,62.3,0.0860268523122825,0.0270684371807966,7.3,757.7,1577.3,0.0188930450770303,0.0247531185031184,0.136986301369863,0.0138888888888888,-0.0136986301369863,0.0428571428571428,0.020728051391863,0.0240329795631963,-0.033567856234636,-0.00577303948421897
"190",311230,2007,12.9,744.8,10.5,23,583.1,9684.2,3048.4,6651.2,283.9,346.5,162,5.0878,3722.6,1365.2,1.100000024,1.319000006,1.07099998,1.447000027,0.011,1.014000058,0.011,1.014999986,394.502356019337,4.059197017923,0.787588986335322,0.0102894110605121,0.00199641147628427,826.364196777344,NA,0.000438721212742137,NA,0.000338818891365772,0.00022956609346294,0.000251227798245618,0.000284330009286974,0.000266475468637565,739.72998046875,619.86083984375,9426.2,11452.6,0.027370520464238,-0.176937987880481,9252.33815924199,9004.14087023125,0.0275647940861645,9004.14087023125,317.6708507,0.241858845877849,0.215291373057316,0.117115999886466,0.193380728253806,0.173836522592233,0.0592221907990505,3.05077302735299,2.54683699458838,390.443159001414,314.620077672647,515.596899224806,472.4,644.5,702.154471544715,0.0914413616105127,-0.267028704422033,5.1075,5.1557,5.2457,305.4,264.7,225.4,-0.0703994760969221,0.153758972421609,14,1369.6,3737.9,-0.00409320741592878,-0.012417765330656,-0.0785714285714285,0.044776119402985,0.089430894308943,-0.0238095238095237,-0.00385707293196268,-0.00934887600131885,-0.0171569094687078,-0.00777407883786036
