"","naics","year","emp","pay","prode","prodh","prodw","vship.x","matcost","vadd","invest","invent","energy","cap","equip","plant","piship","pimat","piinv","pien","dtfp5","tfp5","dtfp4","tfp4","m","m5","mCHN","lwc5","chn","x","vship.y","pen5","penCHN","pen5_lag","pen5_lag2","pen5_lag3","pen5_lag4","pen5_lag5","x_lag","x_lag2","vship_lag","vship_lag2","vship_pc","vship_pc_lag","dm","dm_lag","dm_pc","dm_pc_lag","m_lag","m_pc","m_pc_lag","x_pc","x_pc_lag","x_pc_lag2","x_pc_lag3","m5_lag","m5_lag2","m0","m0_lag","prod","prod_lag","prod_lag2","prod_lag3","prod_pc","prod_pc_lag","cap_lag","cap_lag2","cap_lag3","invest_lag","invest_lag2","invest_lag3","invest_pc","invest_pc_lag","emp_lag","plant_lag","equip_lag","equip_pc","equip_pc_lag","emp_pc","emp_pc_lag","emp_pc_lag2","emp_pc_lag3","cap_pc","cap_pc_lag","cap_pc_lag2","cap_pc_lag3"
"204",311320,2002,8.6,378.1,7,14.8,289.8,4076.1,2186.3,1902.6,95.9,576.2,44.3,1.6845,1220.1,464.4,1.125,1.02699995,0.964999974,1.062000036,-0.194999993,0.926999986,-0.194999993,0.926999986,1252.79682921991,69.3268791108858,10.0102657591924,0.0553376860916615,0.00799033418297768,503.202209472656,4076.1,0.014366196905041,0.00207436783239245,0.00845384380198527,0.0125290824779131,0.0133319361965551,0.0151867994564413,0.0191536642208249,605.919311523438,436.331634521484,4552.6,4174.9,-0.104665465887625,0.0904692327959953,4825.69461974725,5049.85862595229,-0.0443901548160213,5049.85862595229,1103.17793747573,0.135625348061738,0.102334163445308,-0.169522740235039,0.388666930345164,0.245591382823912,0.0466170206965395,42.6907160459086,59.3795041774865,1183.46995010902,1060.48722142982,221.232558139535,283.333333333333,241.681318681319,229.337078651685,-0.219179206566347,0.172342715106322,1.7025,1.7396,1.6837,74.4,59.6,144.2,0.288978494623656,0.248322147651007,9,470.6,1231.9,-0.00957869956977042,-0.0265507704464638,-0.0444444444444445,-0.0109890109890109,0.0224719101123595,-0.11,-0.0105726872246695,-0.0213267417797194,0.0332006889588406,0.0137274971401047
"223",311340,2002,23.4,782.7,18.5,36.3,526,6019.5,2137.7,3881.8,256.1,505.7,69.9,2.3438,1697,646.8,1.047000051,1.026000023,0.976000011,1.054999948,-0.003,1.008000016,-0.003,1.008000016,952.651965720113,50.4038490275852,46.2483510393649,0.0529089868068695,0.0485469549894333,53.3202667236328,6019.5,0.00728502313980204,0.00668441643938422,0.0044690166851295,0.00474209687814558,0.0030996366480922,0.00238538822470474,0.0023483410266496,38.9564437866211,43.464729309082,5826.8,5595.5,0.0330713255989565,0.0413367884907515,6918.83169899648,6592.3737690432,0.049520543189811,6592.3737690432,804.530212829821,0.184109621401657,0.0041348668317793,0.368714942659749,-0.103722848252478,-0.0641419072058002,-0.126306285967379,29.4614283684641,30.1277391153853,902.248116692528,775.068784461357,165.888888888889,158.506382978723,156.275109170306,130.326771653543,0.0465754487070496,0.0142778579408071,2.2726,2.1829,2.0857,192.4,201.7,202.2,0.331081081081081,-0.0461080813088745,23.5,627.1,1645.6,0.0312348079727759,0.0454227812718379,-0.00425531914893623,0.0262008733624455,-0.0984251968503937,-0.072992700729927,0.0313297544662504,0.0410921251546107,0.0466030589250613,0.0522677967811915
"242",311411,2002,37.9,1018.4,32.7,62.6,801.7,9035.1,4383.6,4683.2,320.7,1211.8,181.8,5.5134,3815.4,1697.9,1.013000011,1.019000053,0.980000019,1.085999966,-0.005,0.970000029,-0.006,0.970000029,1170.00977183599,48.4121491212863,38.7054821657948,0.0413775593042374,0.0330813340842724,716.456909179688,9035.1,0.00510210983814341,0.00407913373783231,0.00259268319311048,0.00221647864161311,0.00252097048175671,0.0019489621874075,0.00219907066838978,773.395080566406,830.019226074219,10032.1,9822.2,-0.0993809870316285,0.0213699578505833,9488.6528626563,10296.3882157234,-0.0784484166820341,10296.3882157234,1037.68329628976,0.127521061598817,-0.0433103834549579,-0.0736210674433296,-0.0682202818067606,0.0140558864976185,0.0201235448608907,26.6952726766467,22.3351031306665,1121.5976227147,1010.98802361311,123.5672823219,110.92,109.45871559633,98.7730337078652,0.114021658149114,0.0133500963875619,5.5101,5.3463,5.0471,280,416.9,550,0.145357142857143,-0.328376109378748,42.5,1700,3810.1,0.00139103960525975,0.0401299445824575,-0.108235294117647,-0.0252293577981652,-0.0202247191011236,-0.101010101010101,0.000598900201448143,0.030638011334942,0.0592815676328981,0.0447319395570275
"261",311421,2002,59,1926.7,47.8,97.5,1355.6,18961,9429.1,9482.4,721.9,3640,321,9.6053,6200.2,3405.1,1.042999983,1.024999976,0.968999982,1.080000043,0.004,1.075999975,-0.002,1.077000022,2068.0026346636,392.375053058611,200.319864972262,0.189736247062683,0.0968663468956947,395.038208007812,18961,0.0190159799127949,0.00970825832337141,0.0183402608586349,0.0183344392969866,0.0169195377224796,0.0167005975683132,0.0180346500860185,637.792541503906,688.739990234375,18321.6,17732.6,0.034898698803598,0.0332156592941813,20633.9644266558,19619.9686000542,0.0516818271869615,19619.9686000542,1936.16114155808,0.0680942770080693,0.00855327693471544,-0.380616450803395,-0.0739719625008729,-0.0317622677407821,0.0578926381150513,359.83534216322,347.686992750037,1675.62758160499,1576.32579939486,160.718644067797,152.3125,133.062295081967,133.438775510204,0.0551901128784349,0.144670621427163,9.3488,8.9707,8.6309,679.2,776.5,723,0.0628680800942284,-0.125305859626529,59.2,3394.3,5954.5,0.0412629104038962,0.0575625177607276,-0.00337837837837843,-0.0295081967213114,0.0374149659863946,-0.0740157480314961,0.0274366763648811,0.042148327332315,0.0393701699706868,0.0120661350844278
"280",311422,2002,14,497,11.9,23.7,372.7,7701.3,2466.7,5234.9,180,952.2,130.4,3.5051,2135.5,1369.6,1.06400001,1.024999976,0.967999995,1.105999947,-0.009,0.936999977,-0.008,0.938000023,79.7799218397122,1.18691702769138,0.256023001857102,0.0148773901164532,0.00320911570452154,98.5630035400391,7701.3,0.000154495856021372,0.0000333254065481015,0.000143661148149151,0.000123007928681223,0.000100475339707124,0.000051390804064178,0.0000593562169442518,96.7565231323242,82.2742919921875,8227.4,7849.4,-0.0639448671512263,0.0481565469972227,7682.51691829967,8210.5567081369,-0.0643123004453429,8210.5567081369,79.9132312692236,-0.00166817718911046,0.0282428428245099,0.0186703733167871,0.176023771088931,-0.051380517520006,0.205067689438361,1.17953800363466,0.964978005737066,78.5930048120208,78.733693265589,373.921428571429,345.18,325.753164556962,337.569620253165,0.0832650459801511,0.059636674503099,3.5037,3.5086,3.4224,162.6,156.3,235.8,0.107011070110701,0.0403071017274471,15,1376,2127.7,0.00366593034732349,-0.000422813116602504,-0.0666666666666667,-0.0506329113924051,0,-0.0246913580246913,0.000399577589405568,-0.0013965684318532,0.0251870032725572,0.0239042632759911
"299",311423,2002,15.4,495,12.7,24.1,342.1,5254.5,2316.6,2971.6,177.4,894.3,89,2.0771,1345.8,731.3,1.050999999,1.024999976,0.975000024,1.121999979,0.243000001,1.332999945,0.240999997,1.33099997,203.039893039269,51.0223660408519,40.0236361944117,0.251292318105698,0.197122037410736,143.340103149414,5254.5,0.00960113809381439,0.00753145106136799,0.00871835183091061,0.0100101882461836,0.0108342057454752,0.0110483671073092,0.00893780939405804,151.329620361328,158.373947143555,3740.1,3354.5,0.404908959653485,0.11495006707408,5314.19978988986,3743.01286691208,0.419765301067205,3743.01286691208,154.242487273412,0.316368120279069,-0.037988826802216,-0.0527954619382351,-0.0444790756893959,-0.203007321920711,0.140642178017603,32.6329030813649,33.5987905999646,152.017526998417,121.609584192047,192.961038961039,125.186567164179,118.704,126.317829457364,0.541387732982368,0.0546111939292619,2.0503,1.9854,1.9082,130.3,152,160.3,0.361473522640061,-0.142763157894737,13.4,711,1339.3,0.00485328156499664,0.0510083967668524,0.149253731343284,0.072,-0.0310077519379845,0.0157480314960631,0.0130712578647026,0.0326886269769316,0.0404569751598365,0.0404012867346384
"318",311511,2002,55.4,2158.1,30.1,63.8,1076.8,24181.8,16311.8,7935.3,514.5,684.8,283.1,9.1073,5166.6,3940.7,1.067999959,0.954999983,0.981000006,1.042999983,-0.021,0.958999991,-0.021,0.958999991,18.935845922213,0.142508001532406,0.00440699979662895,0.00752583239227533,0.000232733189477585,4.21367788314819,24181.8,0.0000058896068014536,0.000000182133604198498,0.000000991726024858701,0.00000612007912186344,0.00000287829264347453,0.00000231256330624121,0.000000259462773640369,5.35106515884399,5.50438022613525,24893,23764.1,-0.0285702808018319,0.04750442894955,24196.5221680391,24910.1055755836,-0.0286463421593852,24910.1055755836,22.4566407424863,-0.156781900759191,0.552710606237516,-0.21255343411694,-0.0278532842922637,-0.0400064600992816,-0.313221535058215,0.0247039999812841,0.145492998883128,18.7933379206806,22.4319367425051,143.236462093863,143.875874125874,134.493955094991,125.344290657439,-0.00444419216144535,0.0697571799733038,8.8562,8.7308,8.5799,632.6,497.1,508.5,-0.186689851406892,0.272580969623818,57.2,3911,4945.1,0.0447918141190269,0.0268064784053157,-0.0314685314685315,-0.0120898100172711,0.0017301038062284,0.00696864111498255,0.0283530182245204,0.0143629449764057,0.0175876175713002,0.00905573392607228
"337",311512,2002,1.8,66.8,1.3,2.7,45,1604.9,1378.5,268.6,45.8,57.9,18.8,0.4711,169.7,301.5,0.949000001,0.972000003,0.966000021,1.088999987,0.261999995,1.041000009,0.263000011,1.041000009,61.3331663792487,0.346681999973953,0,0.00565243931487203,0,NA,1604.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1866.4,1305.8,-0.140109301328761,0.429315362230051,NA,NA,NA,NA,97.558134943014,-0.371316739346495,1.78034614426745,NA,NA,NA,NA,0.253992998972535,0.25790600082837,60.9864843792748,97.3041419440415,149.222222222222,219.733333333333,167.428571428571,151.333333333333,-0.320894012944984,0.312400455062571,0.4699,0.4789,0.4851,18.7,7.8,10.4,1.44919786096257,1.3974358974359,1.5,301.7,168.2,0.0089179548156956,-0.0237957051654093,0.2,0.0714285714285715,-0.0666666666666667,-0.117647058823529,0.00255373483719948,-0.018793067446231,-0.0127808699237271,-0.0142247510668563
"356",311513,2002,37.7,1281.5,31,61,958.2,22057.7,17067.3,5015.3,514.2,1480.8,243,4.7956,3455.3,1340.4,1.008000016,0.943000019,0.973999977,1.087000012,0.004,0.91900003,0.004,0.91900003,796.100952256471,0.791192007018253,0,0.000993833760730922,0,19.1974334716797,22057.7,0.0000346488173691031,0,0.0000178657383015181,0.0000138881519141904,0.0000211591413136008,0.0000112624266281977,0.00000604057751956797,23.7332534790039,13.4951372146606,21935.9,19755.1,0.00555254172384079,0.110391746941296,22834.6035187848,22661.9238631945,0.00761981447968463,22661.9238631945,749.757116673514,0.0618117981841543,0.0761862728020202,-0.191116654584965,0.758652253881563,-0.148597470185942,0.377922620790605,0.40487200114876,0.28385000070557,795.309760249453,749.352244672365,133.031830238727,128.472972972973,131.604972375691,136.240997229917,0.0354849518950017,-0.023798488356327,4.4672,4.2769,3.9695,550.3,396.9,485.4,-0.0656005815009993,0.386495338876291,37,1259.8,3207.3,0.0773236055248963,0.0536465177398161,0.018918918918919,0.0220994475138121,0.00277008310249311,-0.0136612021857923,0.0735136103151863,0.0444948443966426,0.0774404836881218,0.0659523617712613
"375",311514,2002,14.1,608.5,9.8,21.1,381.5,9526,5244.1,4262.6,309.9,631.2,150,3.1526,2108.9,1043.6,1.011999965,0.963999987,0.986999989,1.093000054,0.064999998,0.904999971,0.066,0.906000018,594.658118529012,35.5174334833864,6.04756497661583,0.0597274862229824,0.0101698180660605,527.092651367188,9526,0.00370221411475852,0.000630377209745347,0.00288782120693789,0.00298178038170218,0.00238669553068372,0.00189517611912602,0.000942447265644468,641.21630859375,622.334106445312,10070.1,9615.6,-0.0540312410005859,0.0472669412205167,9593.56546716182,10050.5418552071,-0.0454678359265283,10050.5418552071,621.658163800836,-0.0434323022587593,-0.0792670195173475,-0.177979966661869,0.0303409405862232,0.124790928532141,-0.00994469610928714,29.0241679106839,28.8291747414041,559.140685045626,592.633995890152,302.312056737589,277.153333333333,245.058139534884,246.527607361963,0.0907754675062733,0.130969711348359,3.0749,2.909,2.8492,226.1,303.1,196.4,0.37063246351172,-0.254041570438799,15,1030.1,2044.8,0.0313478090766824,0.0624545360074821,-0.06,-0.127906976744186,0.0552147239263803,-0.0355029585798815,0.0252691144427461,0.0570299071845996,0.0209883476063457,0.0879792271269282
